date_added,priority,segment,platform,handle_or_name,url,source,status,next_action,notes
2026-06-21,High,Expat/community,Instagram,@munich_expats,https://www.instagram.com/munich_expats/,web_search,followed,Review recent posts and engage before DM,"Public search result says Munich Expats has weekend meetups and a large member base; community fit is high, but account is likely a gatekeeper."
2026-06-21,High,Expat/community,Instagram,@friendingaround,https://www.instagram.com/friendingaround/,web_search,followed,Review recent posts and engage before DM,"Munich social club for locals and expats; likely good tester-recruitment channel if approached respectfully."
2026-06-21,Medium,Expat/community,Instagram,@boredinmunich,https://www.instagram.com/boredinmunich/,web_search,queued,Review recent posts and decide if public comment is appropriate,"Munich things-to-do account; good audience fit, but likely broad and promotional."
2026-06-21,Medium,Expat/community,Instagram,@internationsorg,https://www.instagram.com/internationsorg/,web_search,queued,Do not DM first; research local Munich event pages,"Large global community account; better as research lead than direct outreach target."
2026-06-21,Medium,Expat/lifestyle,Instagram,@bavariaorbust,https://www.instagram.com/bavariaorbust/,web_search,queued,Review content fit before any DM,"Munich/Germany expat lifestyle account; potential bridge to English-speaking audience."
2026-06-21,High,Design/community,Instagram,@munich_creative_business_week,https://www.instagram.com/munich_creative_business_week/,web_search,queued,Engage with relevant design posts; do not cold-pitch sales,"MCBW is a strong audience signal for design-interested Munich people; institutional account."
2026-06-21,High,Design/community,Website,MCBW,https://www.mcbw.de/en/about-mcbw,web_search,queued,Use as ecosystem map for design audiences,"Official page describes MCBW as Germany's largest design event and an international showcase for the Bavarian creative and design industry."
2026-06-21,Medium,Design/community,Website,Munich Travel MCBW,https://www.munich.travel/en/pois/shopping-design/munich-creative-business-week,web_search,queued,Use as ecosystem map for public design audience,"Munich Travel page describes the event as free/open to many visitors and design-interested public."
2026-06-21,Medium,Student/entrepreneur,Instagram,@startmunich,https://www.instagram.com/startmunich/,web_search,queued,Review if student tester recruitment is relevant,"Student entrepreneur community; useful if testing among young professionals/students."
2026-06-21,Medium,Interior/design,Instagram,@mauritz_design,https://www.instagram.com/mauritz_design/,web_search,queued,Do not DM first; engage only if content relevance is high,"Munich architecture/interior design office; likely professional rather than tester audience."
2026-06-21,Medium,Interior/design,Instagram,@yasemin.loher.interiors,https://www.instagram.com/yasemin.loher.interiors/,web_search,queued,Review recent posts; possible design-feedback contact,"Munich/Amsterdam interiors account; potential design feedback, not broad tester recruitment."
2026-06-21,Medium,Interior/design,Instagram,@livingbylandgraf,https://www.instagram.com/livingbylandgraf/,web_search,queued,Review recent posts; possible design-feedback contact,"Munich-based interior designer / 3D visual artist from search result."
2026-06-21,Medium,Interior/design,Instagram,@stephanie_thatenhorst,https://www.instagram.com/stephanie_thatenhorst/,web_search,queued,Do not DM first; use as taste/audience reference,"Large Munich interior design/showroom account; better as taste benchmark than cold target."
2026-06-21,Medium,Interior/design,Instagram,@coopraumwerk,https://www.instagram.com/coopraumwerk/,web_search,queued,Review recent posts; possible local design-store fit,"Search result labels as Interior Design Munich; may be relevant for later concept-store validation."
2026-06-21,Low,Interior/design,Instagram,@guel_koc_interiordesign,https://www.instagram.com/guel_koc_interiordesign/,web_search,queued,Review content fit before any action,"Munich interior architecture/design lead; lower priority until consumer tester pipeline exists."
