supplier_name,platform,profile_url,country_city,years_on_platform,trade_assurance,eu_export_experience,germany_customer_experience,product_fit,moq_private_label,moq_custom_scent,moq_custom_box,sample_options,sample_cost_eur,shipping_cost_eur,lead_time_samples,lead_time_production,wax_options,container_options,packaging_options,sds,ifra,allergen_declaration,reach_statement,clp_support,en_15493,en_15494,en_15426,batch_number_support,invoice_packing_list,unit_quote_eur,communication_score_1_5,quality_risk,compliance_risk,next_action,notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changchun Ai Kun Medical Equipment Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Luxury-Private-Label-14oz-Aroma-Nature_10000019753141.html,China,5 yrs,unknown,unknown,unknown,soy wax scented candle private label,100,unknown,100,existing sample visible on public page,5,unknown,unknown,9 days for 1-1000 pcs,soy wax; claims paraffin soy coconut options,glass cup,paper box; custom packaging,claims MSDS,claims IFRA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,3.45-3.82 public unit quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message to Alisa Zhang/Kian Wu asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Public page claims MSDS/IFRA/SGS and MOQ 100 for logo/packaging; documents still unverified."
Hubei Joylife Home Furnishing Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Luxury-Home-Decor-Private-Label-Rapeseed_1601249733525.html,China,5 yrs,unknown,claims UK Belgium Japan Spain US as main markets,unknown,rapeseed wax private label candle,500,unknown,1000,existing sample visible on public page,1.84,unknown,unknown,unknown,rapeseed wax; page attribute also says soy wax,unknown,custom logo MOQ 500; custom packaging MOQ 1000,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.74-1.84 public unit quote before landed cost,4,medium,high,follow up Monday for documents,"2026-06-21 sent Alibaba chat message to Jasen tan asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Supplier replied first that they would check with a manager, then said they will handle it when back at work on Monday. No documents received yet. Interesting because rapeseed wax matches EU-local material story. MOQ 500/1000 customization appears too high for EUR 500 validation unless existing samples are usable."
Baoding Be-Ladies Home Products Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/wholesale-Custom-Private-Label-100-Organic_62208835610.html,"Baoding, China",10 yrs,unknown,claims US UK Denmark Germany Switzerland as main markets,claims Germany main market,soy wax private label candle,300,unknown,unknown,existing product/order sample pathway visible,unknown,unknown,unknown,unknown,soy wax,glass jar,custom/private label product page,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.31-3.24 public unit quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message to Ella Yang asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Page claims Germany as a main market, which makes this a higher-priority document-screening lead, but MOQ 300 and shipping estimate need verification."
Suzhou M&scent Arts&crafts Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Mescente-Luxury-Double-Walled-Private-Label_1600267547818.html,"Suzhou, China",8 yrs,unknown,claims Thailand Belgium US UK Qatar as main markets,unknown,luxury double-walled soy wax glass jar candle,100,500,500,existing product/sample pathway visible,unknown,unknown,unknown,16-23 days shipping estimate for 100 pieces,soy wax; page also lists paraffin palm other,glass jar,double-walled/private label packaging,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.59 public unit quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message to Cathy Lv asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Potential packaging-quality lead. Custom logo/packaging MOQ 500 may be too high unless existing samples are usable."
Changchun Ai Kun Medical Equipment Co. Ltd. - duplicate product lead,Alibaba,https://www.alibaba.com/product-detail/AIKUN-Custom-Private-Label-Portable-Luxury_1601167360427.html,China,5 yrs,unknown,claims US Australia Kenya UK Saudi Arabia as main markets,unknown,soy wax private label candle,100,unknown,unknown,existing sample visible on public page,46.30,unknown,unknown,16-23 days shipping estimate for 100 pieces,soy wax,unknown,unknown,claims MSDS,claims IFRA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.84 public unit quote before landed cost,,medium,high,do not duplicate message; wait for first Changchun reply,"Same supplier as the first Changchun Ai Kun lead. 2026-06-21 verified as duplicate and did not send another template to avoid supplier spam. Keep as alternate product option if Changchun replies with acceptable documents."
Guangxi Wanjing Xiangyu Biotechnology Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Hot-Brand-Scented-Candles-Luxury-Scented_1601584607375.html,China,1 yr,unknown,claims US Ghana Norway France Turkey as main markets,unknown,soy wax scented candle private label gift set,36,unknown,unknown,existing product/order sample pathway visible,unknown,unknown,unknown,8-9 days shipping estimate for 36 pieces,soy wax,glass or ceramic jar,custom logo packaging page,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.54-0.91 public unit quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Low MOQ and fast shipping estimate are useful for validation if documents are credible."
Shanghai Wellness Crafts Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Wholesale-Custom-Luxury-Scented-Soy-Wax_60741132909.html,"Shanghai, China",14 yrs,unknown,unknown,unknown,luxury soy wax scented candle private label,600,1000,1000,existing sample visible on public page,55.56,unknown,unknown,16-23 days shipping estimate for 600 pieces,soy wax,glass jar,custom material color size fragrance options,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.87-2.08 public unit quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message via lower chat entry asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Strong platform age and rating, but MOQ/customization likely too high for EUR 500 unless existing samples are excellent."
Hebei Aoyin Trading Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Private-Label-Candle-Manufacture-Cotton-Wick_1601641275964.html,"Shijiazhuang, China",14 yrs,unknown,claims South Sudan Nigeria US Togo Cambodia as main markets,unknown,cotton wick soy wax glass jar scented candle,500,unknown,unknown,existing product/order sample pathway visible,unknown,unknown,unknown,16-23 days shipping estimate for 500 pieces,soy wax,glass jar,private label candle page,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.16-1.46 public unit quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message to Betty Xu asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. High MOQ means this is mainly a compliance benchmark unless sample terms are flexible."
Suzhou Enjoy Home Products Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Wholesale-Eco-Friendly-Soy-Wax-Candles_1601224870997.html,"Suzhou, China",3 yrs,unknown,claims US Canada Australia Germany UK as main markets,claims Germany main market,soy wax wood wick custom private label candle,500,unknown,unknown,existing sample visible on public page,9.26,unknown,unknown,17-24 days shipping estimate,soy wax,unknown,private label/custom scent page,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2.13-3.56 public unit quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Page claims Germany as a main market, but MOQ 500 and lower on-time delivery need scrutiny."
Shijiazhuang Gaocheng Fengyuan Candle Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Rich-Export-Experience-Factory-Sell-Small_60505938061.html,"Shijiazhuang, China",18 yrs,unknown,claims rich export experience,unknown,small scented candles with private label,1 carton,unknown,unknown,carton-based product lead,unknown,unknown,unknown,17-24 days shipping estimate,paraffin,unknown,private label page,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,6.47-23.13 per carton public quote before landed cost,,medium,high,wait for supplier reply,"2026-06-21 sent Alibaba chat message to Linda liu asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Product is paraffin/tealight-adjacent and less aligned with premium soy/rapeseed direction; keep mainly as export-document benchmark."
Sichuan Zhongyouhui Supply Chain Management Co. Ltd.,Alibaba,https://www.alibaba.com/product-detail/Wholesale-Handmade-Soy-Wax-Aromatherapy-Candles_1601611541461.html,"Chengdu, China",2 yrs,unknown,claims US Canada France Netherlands Czechia as main markets,unknown,handmade soy wax aromatherapy glass jar candle,5,unknown,500,existing small quantity path visible,unknown,unknown,unknown,8-9 days shipping estimate for 5 pieces,soy wax,glass jar,custom packaging MOQ 500; scent list visible,page claim hot-selling scented candle with MSDS,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,1.77-2.20 public unit quote before landed cost,,medium,medium,wait for supplier reply,"2026-06-21 sent Alibaba chat message asking for samples, MOQ, Trade Assurance, SDS, IFRA, allergen declaration, REACH, CLP, and EN 15493/15494/15426 documentation. Strong validation fit because visible MOQ starts at 5 pieces and page claims MSDS, but documents remain unverified."
